n,predite_f1,exact_f1,predite_f2,exact_f2,predite_f3,exact_f3,predite_f4,exact_f4
72400,11.000165748156842,11,26.000994504148768,26,50.00298355514364,50,85.00685122555636,85
72500,11.00016551952001,11,26.00099313234878,26,50.00297943972217,50,85.00684177505914,85
72600,11.000165291527104,11,26.000991764380103,26,50.00297533564932,50,85.00683235059688,85
72700,11.000165064173892,11,26.000990400152663,26,50.00297124279955,50,85.00682295202064,85
72800,11.000164837411628,11,26.000989039632184,26,50.00296716123171,50,85.00681357925556,85
72900,11.000164611308604,11,26.00098768293775,26,50.00296309093139,50,85.00680423233402,85
73000,11.000164385824037,11,26.00098632988896,26,50.00295903168069,50,85.00679491084496,85
73100,11.000164160945284,11,26.000984980604443,26,50.002954983689925,50,85.00678561509166,85
73200,11.00016393667584,11,26.000983634910686,26,50.00295094655217,50,85.0067763444509,85
73300,11.000163713011043,11,26.00098229297475,26,50.002946920589906,50,85.00676709927895,85
73400,11.000163489982834,11,26.000980954662854,26,50.00294290549919,50,85.00675787924375,85
73500,11.000163267509045,11,26.00097961993816,26,50.002938901332705,50,85.00674868431983,85
73600,11.000163045699045,11,26.000978288934988,26,50.00293490818357,50,85.00673951448401,85
73700,11.000162824458199,11,26.00097696147721,26,50.00293092570281,50,85.00673036932669,85
73800,11.000162603818314,11,26.000975637657888,26,50.002926954104204,50,85.00672124909399,85
73900,11.000162383782616,11,26.000974317398047,26,50.00292299323274,50,85.00671215353528,85
74000,11.000162164362523,11,26.000973000733076,26,50.00291904311261,50,85.00670308255314,85
74100,11.000161945507777,11,26.000971687624272,26,50.0029151036605,50,85.00669403614253,85
74200,11.00016172722959,11,26.00097037800777,26,50.002911174701296,50,85.00668501390548,85
74300,11.000161509601064,11,26.000969071992376,26,50.002907256495455,50,85.00667601617032,85
74400,11.000161292480898,11,26.00096776938986,26,50.00290334867637,50,85.00666704245604,85
74500,11.00016107598753,11,26.000966470349887,26,50.0028994513793,50,85.00665809287713,85
74600,11.000160860061927,11,26.00096517474938,26,50.00289556453253,50,85.00664916732767,85
74700,11.000160644723493,11,26.0009638826717,26,50.002891688137865,50,85.00664026568711,85
74800,11.000160429950173,11,26.00096259398453,26,50.00288782208024,50,85.00663138780786,85
74900,11.000160215744703,11,26.00096130877081,26,50.00288396632641,50,85.00662253361477,85
75000,11.000160002130615,11,26.000960027005455,26,50.00288012090059,50,85.00661370314322,85
75100,11.000159789106515,11,26.000958748679718,26,50.002876285743106,50,85.00660489618545,85
75200,11.00015957660835,11,26.00095747370942,26,50.00287246068471,50,85.00659611256023,85
75300,11.000159364642748,11,26.000956202068267,26,50.00286864578041,50,85.00658735214672,85
75400,11.000159153295861,11,26.00095493387188,26,50.00286484109314,50,85.00657861521107,85
75500,11.000158942511769,11,26.000953669051913,26,50.002861046434134,50,85.00656990132369,85
75600,11.000158732259395,11,26.00095240755619,26,50.00285726183113,50,85.00656121052961,85
75700,11.000158522578904,11,26.00095114939091,26,50.002853487202195,50,85.0065525425996,85
75800,11.00015831342648,11,26.00094989452841,26,50.00284972256527,50,85.00654389762144,85
75900,11.000158104833881,11,26.00094864299124,26,50.00284596785351,50,85.00653527543763,85
76000,11.000157896799246,11,26.00094739473436,26,50.00284222299909,50,85.00652667595587,85
76100,11.000157689320673,11,26.00094614977988,26,50.00283848800083,50,85.00651809901443,85
76200,11.000157482400441,11,26.000944908107506,26,50.00283476281456,50,85.00650954461416,85
76300,11.000157275977282,11,26.000943669620415,26,50.00283104735297,50,85.00650101261485,85
76400,11.00015707009983,11,26.000942434407666,26,50.00282734164643,50,85.00649250296742,85
76500,11.00015686479147,11,26.000941202439684,26,50.00282364563989,50,85.00648401557868,85
76600,11.000156659986374,11,26.000939973661023,26,50.002819959217945,50,85.00647555030679,85
76700,11.00015645572904,11,26.000938748100904,26,50.002816282451256,50,85.00646710716961,85
76800,11.000156252021537,11,26.000937525737353,26,50.00281261529097,50,85.00645868595355,85
76900,11.000156048827483,11,26.000936306590756,26,50.00280895766171,50,85.00645028678825,85
77000,11.000155846157302,11,26.000935090553195,26,50.00280530949571,50,85.006441909277,85
77100,11.000155644021435,11,26.00093387768718,26,50.00280167079274,50,85.00643355349902,85
77200,11.0001554424432,11,26.000932668029662,26,50.002798041629134,50,85.00642521955407,85
77300,11.000155241338732,11,26.00093146142018,26,50.002794421712004,50,85.00641690699611,85
77400,11.000155040744005,11,26.0009302579035,26,50.002790811193236,50,85.00640861594265,85
77500,11.000154840716652,11,26.000929057550255,26,50.00278720994101,50,85.00640034628255,85
77600,11.00015464118535,11,26.000927860310615,26,50.00278361808067,50,85.00639209799743,85
77700,11.00015444213013,11,26.000926666099822,26,50.00278003542716,50,85.00638387094692,85
77800,11.000154243621587,11,26.000925474996603,26,50.00277646199254,50,85.00637566503609,85
77900,11.000154045639835,11,26.000924286950177,26,50.00277289772785,50,85.00636748018987,85
78000,11.00015384814321,11,26.00092310191798,26,50.002769342522726,50,85.00635931621467,85
78100,11.000153651124483,11,26.00092191992641,26,50.00276579654312,50,85.0063511733308,85
78200,11.000153454650157,11,26.000920740958417,26,50.00276225949522,50,85.00634305112912,85
78300,11.000153258669688,11,26.000919565057533,26,50.00275873163076,50,85.00633494980121,85
78400,11.000153063180118,11,26.000918392067135,26,50.00275521265391,50,85.00632686900316,85
78500,11.000152868174087,11,26.000917222117238,26,50.00275170272871,50,85.0063188089154,85
78600,11.000152673709616,11,26.000916055172535,26,50.002748201714056,50,85.00631076930347,85
78700,11.00015247970956,11,26.000914891118725,26,50.00274470956373,50,85.006302750066,85
78800,11.00015228618384,11,26.00091373005073,26,50.002741226265776,50,85.00629475118743,85
78900,11.000152093173053,11,26.00091257193237,26,50.00273775178134,50,85.00628677258514,85
79000,11.000151900656586,11,26.000911416779754,26,50.00273428619368,50,85.00627881430658,85
79100,11.000151708635643,11,26.000910264494717,26,50.002730829296134,50,85.00627087602494,85
79200,11.00015151705865,11,26.000909115154304,26,50.002727381126725,50,85.00626295785032,85
79300,11.000151325992597,11,26.000907968668496,26,50.002723941661515,50,85.00625505963245,85
79400,11.00015113540341,11,26.00090682511415,26,50.0027205109024,50,85.00624718128532,85
79500,11.000150945292123,11,26.00090568442711,26,50.00271708870954,50,85.00623932279186,85
79600,11.000150755655328,11,26.000904546586927,26,50.00271367512752,50,85.00623148403223,85
79700,11.000150566524963,11,26.000903411643677,26,50.002710270200616,50,85.00622366502638,85
79800,11.000150377822363,11,26.000902279514623,26,50.00270687373368,50,85.0062158654788,85
79900,11.00015018962367,11,26.000901150231776,26,50.00270348575182,50,85.00620808553927,85
80000,11.000150001854392,11,26.000900023738325,26,50.00270010622653,50,85.00620032497532,85
80100,11.000149814599713,11,26.00089890008373,26,50.00269673516422,50,85.0061925838546,85
80200,11.000149627793846,11,26.0008977792285,26,50.00269337251746,50,85.00618486200355,85
80300,11.0001494414598,11,26.00089666116845,26,50.002690018273775,50,85.0061771594072,85
80400,11.000149255589434,11,26.0008955458903,26,50.00268667237551,50,85.00616947597352,85
80500,11.000149070174535,11,26.000894433380527,26,50.002683334764235,50,85.00616181168039,85
