N,p_3,p_5,p_10,p_15,p_20,p_25,p_30
78440,0.2500063744207243,0.16667304111447945,0.09091546542462488,0.06250637458325514,0.04762542227002397,0.038467913180236006,0.03226443930254779
78450,0.250006373608163,0.1666730403019113,0.09091546461203948,0.06250637377065252,0.04762542145740407,0.03846791236759885,0.03226443848989336
78460,0.25000637279580906,0.16667303948955034,0.09091546379966124,0.06250637295825702,0.04762542064499133,0.03846791155516884,0.0322644376774461
78470,0.250006371983662,0.1666730386773964,0.09091546298749008,0.0625063721460686,0.04762541983278566,0.03846791074294593,0.03226443686520593
78480,0.2500063711717219,0.16667303786544946,0.09091546217552592,0.06250637133408718,0.04762541902078698,0.03846790993093001,0.032264436053172765
78490,0.25000637035998874,0.16667303705370942,0.0909154613637686,0.06250637052231266,0.04762541820899522,0.03846790911912102,0.03226443524134654
78500,0.2500063695484624,0.1666730362421762,0.09091546055221816,0.06250636971074498,0.04762541739741031,0.03846790830751887,0.03226443442972717
78510,0.2500063687371429,0.16667303543084971,0.09091545974087444,0.06250636889938403,0.04762541658603216,0.0384679074961235,0.032264433618314554
78520,0.25000636792602987,0.16667303461972988,0.0909154589297374,0.06250636808822978,0.047625415774860666,0.03846790668493479,0.03226443280710863
78530,0.25000636711512353,0.16667303380881665,0.09091545811880693,0.06250636727728211,0.04762541496389578,0.0384679058739527,0.03226443199610933
78540,0.2500063663044237,0.16667303299810987,0.09091545730808301,0.06250636646654097,0.04762541415313744,0.038467905063177134,0.03226443118531656
78550,0.25000636549393024,0.1666730321876096,0.09091545649756548,0.06250636565600623,0.047625413342585514,0.03846790425260801,0.03226443037473025
78560,0.2500063646836432,0.1666730313773156,0.0909154556872543,0.06250636484567787,0.04762541253223996,0.03846790344224528,0.03226442956435031
78570,0.2500063638735623,0.16667303056722788,0.09091545487714942,0.06250636403555579,0.047625411722100684,0.03846790263208881,0.03226442875417668
78580,0.2500063630636877,0.16667302975734638,0.09091545406725071,0.06250636322563989,0.04762541091216763,0.03846790182213858,0.032264427944209265
78590,0.25000636225401907,0.16667302894767091,0.09091545325755812,0.06250636241593015,0.04762541010244069,0.03846790101239448,0.03226442713444798
78600,0.25000636144455657,0.16667302813820153,0.09091545244807157,0.06250636160642643,0.04762540929291981,0.03846790020285642,0.032264426324892764
78610,0.2500063606353,0.16667302732893813,0.09091545163879097,0.06250636079712867,0.0476254084836049,0.03846789939352436,0.03226442551554353
78620,0.2500063598262493,0.16667302651988053,0.09091545082971622,0.06250635998803677,0.04762540767449587,0.03846789858439817,0.03226442470640021
